portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
14660,Antofagasta,14070,CHILE,CL,Chile,"23°39'00""S","70°25'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22221,XV,M,CB,G,N,Y,N,Y,U,9,19,11,17,3,,,,N,Y,Y,Y,Y,,,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,N,U,N,Y,Y,Y,U,Y,U,Y,Y,Y,N,N,N,Y,Y,U,Y,Y,Y,C,U,M,U,U,UNK,U,U,Y,U,U,U,U,{B7FDD727-3D19-4C85-B79A-493FF31DBB37},U,U,U,U,U,U,U,U,U,U,U,U,CL ANF,"coa07d, gen07b, h0714660",,,,South Pacific Ocean,Mejillones,,,,,,
14340,Bahia De Valdivia,14070,CHILE,CL,Chile,"39°48'00""S","73°15'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,,XV,S,RN,E,Y,N,N,Y,N,3,13,5,11,3,,,,U,Y,U,U,Y,,,U,U,U,U,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,U,U,U,U,U,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,B,S,S,U,U,UNK,U,U,U,U,U,U,U,{20788105-A98E-4717-8F5A-B1B7B372C961},U,U,U,U,U,U,U,U,U,U,U,U,CL ZAL,"coa07d, gen07b",,,,South Pacific Ocean,,,,,,,
14500,Bahia De Valparaiso,14070,CHILE,CL,Chile,"33°02'00""S","71°37'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22259,XV,M,CB,F,N,N,N,N,N,23,23,11,14,1,,,,Y,U,Y,Y,Y,,,Y,U,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,N,U,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{94E5F3DB-CE24-4F50-ACAC-D6B888C8059F},U,U,U,U,U,U,U,U,U,U,U,U,CL VAP,"a0714500, coa07d, gen07b, h0714500",,,,South Pacific Ocean,,,,,,,
14400,Coronel,14070,CHILE,CL,Chile,"37°02'00""S","73°10'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22312,XV,S,CN,E,N,N,N,Y,N,17,16,13,13,1,,,,Y,U,Y,N,Y,,,U,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,U,U,N,Y,Y,U,U,Y,U,U,Y,U,U,U,U,Y,Y,Y,N,U,U,N,U,U,U,U,UNK,U,U,Y,U,U,U,U,{F92F4681-6029-4919-A14E-8FD260765FED},U,U,U,U,U,U,U,U,U,U,U,U,CL CNL,"a0714400, coa07d, gen07b, h0714400",,,,South Pacific Ocean,,,,,,,
14760,Iquique,14070,CHILE,CL,Chile,"20°12'00""S","70°10'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22233,XV,S,CB,G,N,N,N,Y,Y,13,23,16,9,1,,,,U,U,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,N,U,N,Y,Y,U,U,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,C,M,M,Y,U,UNK,U,U,Y,U,U,U,U,{0806944F-3D8C-4069-ACAB-38D929770786},U,U,U,U,U,U,U,U,U,U,U,U,CL IQQ,"coa07d, gen07c, h0714760",,,,South Pacific Ocean,,,,,,,
14670,Mejillones,14070,CHILE,CL,Chile,"23°06'00""S","70°28'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22251,XV,S,CN,G,N,N,N,N,N,20,23,13,14,1,,,,Y,U,U,N,Y,,,U,N,N,Y,U,Y,Y,Y,Y,Y,N,Y,Y,U,U,U,Y,N,U,N,Y,U,U,U,U,Y,U,U,U,U,U,U,U,N,N,N,N,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{65199D90-CDF4-4360-80BD-C17681655CB1},U,U,U,U,U,U,U,U,U,U,U,U,CL MJS,"coa07d, gen07b, h0714670",,,,South Pacific Ocean,,,,,,,
14270,Puerto Montt,14070,CHILE,CL,Chile,"41°29'00""S","72°58'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22346,XV,S,CN,F,Y,N,N,Y,Y,23,23,6,11,6,,,,Y,Y,Y,N,Y,,,U,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,Y,U,N,Y,Y,U,U,U,U,Y,U,U,U,U,U,Y,Y,Y,Y,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{425CC9C9-5133-4198-AAD4-75651D69176A},U,U,U,U,U,U,U,U,U,U,U,U,CL PMC,"a0714270, coa07d, gen07b, h0714270",,,,South Pacific Ocean,,,,,,,
14470,Puerto San Antonio,14070,CHILE,CL,Chile,"33°35'00""S","71°37'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22294,XV,S,CB,G,Y,Y,N,Y,N,23,23,11,9,4,,,,Y,Y,Y,N,Y,,,Y,U,Y,Y,Y,Y,Y,Y,Y,U,Y,Y,Y,U,U,U,Y,U,U,N,Y,Y,U,U,Y,U,U,U,U,U,U,U,Y,Y,Y,Y,U,U,B,U,M,U,U,UNK,U,U,Y,U,U,U,U,{553F9F51-FDB4-45ED-8FFA-E9E4E5A70C78},U,U,U,U,U,U,U,U,U,U,U,U,CL SAI,"coa07d, gen07b, h0714470",,,,South Pacific Ocean,,,,,,,
14800,Rada De Arica,14070,CHILE,CL,Chile,"18°28'00""S","70°20'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22221,XV,S,OR,P,N,Y,N,Y,U,16,19,11,13,1,,,,U,U,Y,U,Y,,,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,U,U,N,Y,Y,U,U,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,C,S,S,Y,U,UNK,U,U,Y,U,U,U,U,{7D33FB41-B965-4E50-A0FF-833D2338D541},U,U,U,U,U,U,U,U,U,U,U,U,CL ARI,"coa07d, gen07c, h0714800",,,,South Pacific Ocean,,,,,,,
14100,Rada Punta Arenas,14070,CHILE,CL,Chile,"53°10'00""S","70°54'00""W",Sailing Directions Pub. 124 (Enroute) - East Coast of South America,22482,XV,S,OR,F,N,N,N,Y,U,,17,9,9,2,,,,Y,U,Y,N,Y,,,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,U,Y,Y,Y,U,U,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{B2059864-3389-414E-9B72-192AC7941DC3},U,U,U,U,U,U,U,U,U,U,U,U,CL PUQ,"a0714100, coa07h, gen07a, h0714100",,,,South Pacific Ocean,Magallanes,,,,,,
14420,Talcahuano,14070,CHILE,CL,Chile,"36°42'00""S","73°06'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22311,XV,S,CN,G,N,N,N,N,N,23,13,8,8,1,,,,Y,Y,U,U,Y,,,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,Y,U,U,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,A,M,M,U,U,UNK,U,U,Y,U,U,U,U,{552EE5C7-6307-4734-8EAF-5CECDB10E95B},U,U,U,U,U,U,U,U,U,U,U,U,CL TAL,"a0714420, coa07d, gen07b, h0714420",,,,South Pacific Ocean,,,,,,,
14720,Tocopilla,14070,CHILE,CL,Chile,"22°05'00""S","70°14'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22221,XV,S,OR,F,N,N,N,U,U,23,23,11,13,3,,,,Y,U,Y,N,Y,,,Y,N,N,Y,U,Y,Y,Y,U,N,Y,Y,Y,U,U,U,Y,U,U,N,Y,U,U,U,Y,U,U,Y,U,U,U,U,Y,Y,N,N,N,Y,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{55C734FF-FAF5-4423-9632-4B1C650BC1DC},U,U,U,U,U,U,U,U,U,U,U,U,CL TOQ,"coa07d, gen07b, h0714720",,,,South Pacific Ocean,,,,,,
