portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
14660,Antofagasta,14070,CHILE,CL,Chile,"23°39'00""S","70°25'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22221,XV,M,CB,G,N,Y,N,Y,U,9,19,11,17,3,,,,N,Y,Y,Y,Y,,,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,N,U,N,Y,Y,Y,U,Y,U,Y,Y,Y,N,N,N,Y,Y,U,Y,Y,Y,C,U,M,U,U,UNK,U,U,Y,U,U,U,U,{B7FDD727-3D19-4C85-B79A-493FF31DBB37},U,U,U,U,U,U,U,U,U,U,U,U,CL ANF,"coa07d, gen07b, h0714660",,,,South Pacific Ocean,Mejillones,,,,,,
14110,Bahia Agua Fresca,14070,CHILE,CL,Chile,"53°23'00""S","70°58'00""W",Sailing Directions Pub. 124 (Enroute) - East Coast of South America,22483,XV,V,CN,F,U,U,U,U,U,,5,,,0,,,,Y,U,U,U,U,,,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,UNK,U,U,U,U,U,U,U,{9524C26D-A4CF-4FD1-B79D-36FF4954DA99},U,U,U,U,U,U,U,U,U,U,U,U,,"a0714100, coa07h, gen07a",,,,South Pacific Ocean,Agua Fresca,,,,,,
14340,Bahia De Valdivia,14070,CHILE,CL,Chile,"39°48'00""S","73°15'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,,XV,S,RN,E,Y,N,N,Y,N,3,13,5,11,3,,,,U,Y,U,U,Y,,,U,U,U,U,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,U,U,U,U,U,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,B,S,S,U,U,UNK,U,U,U,U,U,U,U,{20788105-A98E-4717-8F5A-B1B7B372C961},U,U,U,U,U,U,U,U,U,U,U,U,CL ZAL,"coa07d, gen07b",,,,South Pacific Ocean,,,,,,,
14500,Bahia De Valparaiso,14070,CHILE,CL,Chile,"33°02'00""S","71°37'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22259,XV,M,CB,F,N,N,N,N,N,23,23,11,14,1,,,,Y,U,Y,Y,Y,,,Y,U,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,N,U,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{94E5F3DB-CE24-4F50-ACAC-D6B888C8059F},U,U,U,U,U,U,U,U,U,U,U,U,CL VAP,"a0714500, coa07d, gen07b, h0714500",,,,South Pacific Ocean,,,,,,,
14140,Bahia Harris,14070,CHILE,CL,Chile,"53°51'00""S","70°27'00""W",Sailing Directions Pub. 124 (Enroute) - East Coast of South America,22483,XV,V,CN,F,U,U,U,U,U,14,23,2,,0,,,,U,U,U,U,U,,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,UNK,U,U,U,U,U,U,U,{2EAA8092-3BCD-42E6-AAE6-DDF2D50F9E1A},U,U,U,U,U,U,U,U,U,U,U,U,,"a0714100, coa07h, gen07a",,,,South Pacific Ocean,Harriss Bay,,,,,,
14560,Bahia Herradura Guayacan,14070,CHILE,CL,Chile,"29°58'00""S","71°22'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22285,XV,V,OR,G,N,N,N,Y,N,16,13,9,16,2,,,,Y,U,Y,N,Y,,,N,N,N,Y,Y,U,Y,Y,U,Y,Y,Y,Y,U,U,U,Y,N,U,N,U,U,U,U,U,U,U,U,U,U,U,U,Y,Y,Y,Y,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{E44AAA59-2907-49E2-8CE1-39DEDE9C2F71},U,U,U,U,U,U,U,U,U,U,U,U,CL GYC,"a0714570, coa07d, gen07b, h0714570",,,,South Pacific Ocean,,,,,,,
14510,Bahia Quintero (Ventanas),14070,CHILE,CL,Chile,"32°46'00""S","71°32'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22263,XV,V,OR,F,N,N,N,Y,Y,,19,14,23,1,,,,N,Y,U,N,Y,,,U,N,Y,Y,Y,U,Y,Y,U,Y,Y,Y,Y,U,U,U,Y,N,U,N,U,Y,U,U,U,U,Y,Y,U,U,U,U,Y,Y,Y,N,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{827B75E6-0D3E-46A8-94FD-F7DF7F2AAE44},U,U,U,U,U,U,U,U,U,U,U,U,CL QTV,"a0714500, coa07d, gen07b, h0714510",,,,South Pacific Ocean,,,,,,,
14415,Bahia San Vicente,14070,CHILE,CL,Chile,"36°44'00""S","73°10'00""W",Sailing Directions Pub. 125 (Enroute) - West Coast of South America,22314,XV,V,CN,F,N,N,N,U,U,23,19,11,13,1,,,,Y,U,U,N,Y,,,U,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,U,U,Y,Y,Y,Y,Y,U,Y,U,U,Y,U,U,U,Y,Y,Y,Y,Y,Y,B,L,M,U,U,UNK,U,U,Y,U,U,U,U,{8C4499AF-9BB5-4F96-A052-277F2415BB8A},U,U,U,U,U,U,U,U,U,U,U,U,CL SVE,"a0714420, coa07d, gen07b, h0714415",,,,South Pacific Ocean,,,,,,,
14095,Caleta Clarencia,14070,CHILE,CL,Chile,"52°54'00""S","70°06'00""W",Sailing Directions Pub. 124 (Enroute) - East Coast of South America,22481,XV,V,CN,F,U,U,U,Y,U,16,3,,9,0,,,,U,U,U,U,U,,,Y,U,Y,U,U,Y,U,U,U,U,U,U,Y,U,Y,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,UNK,U,U,Y,U,U,U,U,{8A67A849-B150-4E4E-ABBB-BCAD020398A0},U,U,U,U,U,U,U,U,U,U,U,U,CL CLR,"a0714100, coa07h, gen07a",,,,South Pacific Ocean,,,,,,,
14175,Caleta Mina Elena,14070,CHILE,CL,Chile,"52°41'00""S","71°54'00""W",Sailing Directions Pub. 124 (Enroute) - East Coast of South America,22410,XV,V,CN,F,N,N,N,N,N,,8,,,0,,,,U,U,U,U,U,,,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,UNK,U,U,U,U,U,U,U,{8EC06961-C075-4DBA-861F-EB42A1E1CF3F},U,U,U,U,U,U,U,U,U,U,U,U,,"coa07h, gen07a",,,,South Pacific Ocean,Mina Elena,,,,,,
